0	0	0	0	0	0
256	0	0	156	7	3
512	0	0	330	15	6
768	0	0	511	23	9
1024	0	0	692	31	12
1280	0	0	877	39	15
1536	0	0	1074	46	19
1792	0	0	1275	55	21
2048	0	0	1476	62	24
2303	0	0	1672	70	27
2559	0	0	1872	77	30
2815	0	0	2079	84	34
3071	0	0	2287	93	37
3327	0	0	2483	100	40
3583	0	0	2678	107	42
3839	0	0	2876	116	46
4095	0	0	3074	123	49
0	256	0	44	167	15
256	256	0	199	175	18
512	256	0	382	183	21
768	256	0	564	190	25
1024	256	0	746	200	28
1280	256	0	933	209	31
1536	256	0	1133	219	34
1792	256	0	1335	228	37
2048	256	0	1535	238	40
2303	256	0	1732	248	43
2559	256	0	1933	257	47
2815	256	0	2143	266	49
3071	256	0	2347	275	53
3327	256	0	2544	284	56
3583	256	0	2739	294	58
3839	256	0	2939	304	62
4095	256	0	3135	313	65
0	512	0	88	369	30
256	512	0	251	380	33
512	512	0	435	389	37
768	512	0	617	399	39
1024	512	0	801	408	43
1280	512	0	993	418	46
1536	512	0	1195	428	49
1792	512	0	1395	437	53
2048	512	0	1593	446	55
2303	512	0	1792	455	59
2559	512	0	1994	464	62
2815	512	0	2205	474	65
3071	512	0	2405	483	68
3327	512	0	2602	491	71
3583	512	0	2799	500	75
3839	512	0	2999	511	77
4095	512	0	3194	519	81
0	768	0	133	575	46
256	768	0	304	584	49
512	768	0	488	593	52
768	768	0	669	603	55
1024	768	0	856	612	58
1280	768	0	1051	622	61
1536	768	0	1253	631	65
1792	768	0	1456	641	67
2048	768	0	1653	650	71
2303	768	0	1853	659	73
2559	768	0	2058	668	77
2815	768	0	2267	677	81
3071	768	0	2465	687	84
3327	768	0	2662	696	87
3583	768	0	2860	706	91
3839	768	0	3058	715	93
4095	768	0	3252	724	97
0	1024	0	178	784	62
256	1024	0	358	794	64
512	1024	0	541	803	68
768	1024	0	723	813	71
1024	1024	0	910	824	74
1280	1024	0	1110	833	78
1536	1024	0	1313	843	80
1792	1024	0	1515	852	84
2048	1024	0	1712	862	87
2303	1024	0	1913	872	90
2559	1024	0	2122	881	93
2815	1024	0	2327	891	96
3071	1024	0	2525	900	99
3327	1024	0	2720	910	103
3583	1024	0	2920	920	106
3839	1024	0	3117	930	111
4095	1024	0	3311	941	114
0	1280	0	226	1004	77
256	1280	0	412	1016	80
512	1280	0	595	1026	84
768	1280	0	779	1037	87
1024	1280	0	969	1048	90
1280	1280	0	1171	1059	93
1536	1280	0	1373	1069	96
1792	1280	0	1573	1080	100
2048	1280	0	1772	1090	103
2303	1280	0	1975	1100	106
2559	1280	0	2185	1111	110
2815	1280	0	2388	1121	113
3071	1280	0	2586	1131	117
3327	1280	0	2782	1142	119
3583	1280	0	2983	1152	123
3839	1280	0	3179	1163	125
4095	1280	0	3372	1173	129
0	1536	0	280	1237	93
256	1536	0	466	1248	97
512	1536	0	649	1259	100
768	1536	0	836	1270	103
1024	1536	0	1030	1280	107
1280	1536	0	1232	1291	110
1536	1536	0	1435	1301	114
1792	1536	0	1633	1312	116
2048	1536	0	1834	1322	120
2303	1536	0	2038	1332	124
2559	1536	0	2249	1342	126
2815	1536	0	2449	1352	130
3071	1536	0	2645	1363	132
3327	1536	0	2842	1373	136
3583	1536	0	3044	1383	139
3839	1536	0	3239	1394	142
4095	1536	0	3431	1405	146
0	1792	0	335	1469	111
256	1792	0	520	1479	113
512	1792	0	703	1490	117
768	1792	0	891	1500	121
1024	1792	0	1090	1511	123
1280	1792	0	1293	1522	127
1536	1792	0	1495	1532	129
1792	1792	0	1692	1542	133
2048	1792	0	1896	1553	137
2303	1792	0	2103	1563	139
2559	1792	0	2312	1572	143
2815	1792	0	2511	1582	146
3071	1792	0	2706	1592	149
3327	1792	0	2905	1603	153
3583	1792	0	3105	1613	155
3839	1792	0	3299	1624	159
4095	1792	0	3490	1634	162
0	2048	0	390	1698	126
256	2048	0	575	1709	129
512	2048	0	759	1719	134
768	2048	0	946	1730	136
1024	2048	0	1149	1740	140
1280	2048	0	1353	1752	143
1536	2048	0	1554	1763	146
1792	2048	0	1752	1773	150
2048	2048	0	1957	1783	153
2303	2048	0	2167	1793	156
2559	2048	0	2373	1805	160
2815	2048	0	2572	1815	162
3071	2048	0	2766	1825	166
3327	2048	0	2968	1836	168
3583	2048	0	3165	1847	172
3839	2048	0	3359	1858	176
4095	2048	0	3549	1868	178
0	2303	0	444	1933	142
256	2303	0	628	1945	146
512	2303	0	814	1956	149
768	2303	0	1007	1966	152
1024	2303	0	1209	1976	155
1280	2303	0	1413	1987	158
1536	2303	0	1612	1999	162
1792	2303	0	1813	2010	165
2048	2303	0	2019	2021	169
2303	2303	0	2229	2032	172
2559	2303	0	2433	2042	176
2815	2303	0	2630	2055	179
3071	2303	0	2826	2066	181
3327	2303	0	3029	2077	185
3583	2303	0	3224	2088	189
3839	2303	0	3416	2099	192
4095	2303	0	3609	2110	195
0	2559	0	498	2180	159
256	2559	0	682	2192	161
512	2559	0	870	2203	165
768	2559	0	1066	2215	169
1024	2559	0	1269	2225	171
1280	2559	0	1473	2236	175
1536	2559	0	1671	2247	177
1792	2559	0	1872	2259	181
2048	2559	0	2080	2271	185
2303	2559	0	2292	2282	189
2559	2559	0	2493	2292	192
2815	2559	0	2689	2302	195
3071	2559	0	2888	2313	198
3327	2559	0	3089	2323	202
3583	2559	0	3282	2333	205
3839	2559	0	3475	2343	208
4095	2559	0	3670	2353	211
0	2815	0	553	2422	175
256	2815	0	737	2433	179
512	2815	0	924	2442	182
768	2815	0	1126	2452	184
1024	2815	0	1329	2464	188
1280	2815	0	1531	2474	190
1536	2815	0	1730	2486	194
1792	2815	0	1933	2495	197
2048	2815	0	2145	2506	200
2303	2815	0	2353	2517	204
2559	2815	0	2552	2527	207
2815	2815	0	2748	2537	211
3071	2815	0	2950	2547	215
3327	2815	0	3148	2557	218
3583	2815	0	3339	2568	222
3839	2815	0	3535	2578	226
4095	2815	0	3731	2588	229
0	3071	0	608	2655	192
256	3071	0	794	2666	195
512	3071	0	984	2676	198
768	3071	0	1186	2686	201
1024	3071	0	1389	2697	205
1280	3071	0	1590	2707	207
1536	3071	0	1791	2718	211
1792	3071	0	1995	2728	214
2048	3071	0	2209	2738	217
2303	3071	0	2413	2748	222
2559	3071	0	2611	2759	224
2815	3071	0	2808	2769	228
3071	3071	0	3012	2779	231
3327	3071	0	3206	2789	235
3583	3071	0	3399	2798	239
3839	3071	0	3595	2809	243
4095	3071	0	3791	2819	249
0	3327	0	662	2887	209
256	3327	0	849	2897	211
512	3327	0	1044	2908	215
768	3327	0	1247	2919	218
1024	3327	0	1450	2929	221
1280	3327	0	1651	2940	224
1536	3327	0	1853	2950	227
1792	3327	0	2059	2960	231
2048	3327	0	2274	2971	236
2303	3327	0	2473	2981	239
2559	3327	0	2671	2991	243
2815	3327	0	2869	3001	246
3071	3327	0	3072	3012	250
3327	3327	0	3265	3022	254
3583	3327	0	3458	3032	257
3839	3327	0	3653	3042	262
4095	3327	0	3852	3052	266
0	3583	0	716	3119	226
256	3583	0	905	3130	228
512	3583	0	1105	3139	232
768	3583	0	1309	3148	236
1024	3583	0	1511	3158	240
1280	3583	0	1710	3168	244
1536	3583	0	1913	3177	246
1792	3583	0	2123	3187	251
2048	3583	0	2335	3196	254
2303	3583	0	2535	3206	258
2559	3583	0	2731	3216	262
2815	3583	0	2931	3225	265
3071	3583	0	3131	3235	269
3327	3583	0	3323	3245	272
3583	3583	0	3516	3254	276
3839	3583	0	3713	3264	280
4095	3583	0	3909	3273	283
0	3839	0	774	3339	243
256	3839	0	963	3350	247
512	3839	0	1166	3360	251
768	3839	0	1370	3369	255
1024	3839	0	1572	3379	259
1280	3839	0	1771	3389	262
1536	3839	0	1974	3398	266
1792	3839	0	2188	3408	269
2048	3839	0	2395	3417	273
2303	3839	0	2593	3427	277
2559	3839	0	2789	3437	280
2815	3839	0	2993	3447	284
3071	3839	0	3189	3457	287
3327	3839	0	3381	3466	291
3583	3839	0	3576	3475	295
3839	3839	0	3771	3486	299
4095	3839	0	3966	3496	303
0	4095	0	827	3563	262
256	4095	0	1020	3572	264
512	4095	0	1225	3583	268
768	4095	0	1429	3592	272
1024	4095	0	1629	3602	276
1280	4095	0	1830	3612	280
1536	4095	0	2036	3621	284
1792	4095	0	2251	3632	288
2048	4095	0	2454	3641	292
2303	4095	0	2651	3650	294
2559	4095	0	2848	3660	299
2815	4095	0	3054	3670	303
3071	4095	0	3246	3680	306
3327	4095	0	3440	3689	310
3583	4095	0	3636	3699	313
3839	4095	0	3830	3708	317
4095	4095	0	4026	3719	322
0	0	256	3	4	160
256	0	256	163	12	163
512	0	256	341	20	167
768	0	256	524	28	170
1024	0	256	706	35	173
1280	0	256	893	42	176
1536	0	256	1091	50	179
1792	0	256	1292	58	182
2048	0	256	1493	65	185
2303	0	256	1688	73	187
2559	0	256	1891	80	191
2815	0	256	2100	87	194
3071	0	256	2309	95	197
3327	0	256	2508	102	200
3583	0	256	2702	110	202
3839	0	256	2899	118	205
4095	0	256	3099	125	209
0	256	256	48	171	173
256	256	256	206	179	177
512	256	256	392	186	180
768	256	256	575	194	190
1024	256	256	760	204	193
1280	256	256	947	213	196
1536	256	256	1148	222	199
1792	256	256	1350	231	202
2048	256	256	1549	241	205
2303	256	256	1747	251	208
2559	256	256	1951	259	211
2815	256	256	2163	269	214
3071	256	256	2368	277	218
3327	256	256	2566	287	224
3583	256	256	2759	296	227
3839	256	256	2961	306	230
4095	256	256	3158	315	234
0	512	256	92	375	194
256	512	256	258	385	198
512	512	256	445	394	201
768	512	256	628	403	204
1024	512	256	814	412	208
1280	512	256	1007	422	211
1536	512	256	1209	431	213
1792	512	256	1410	440	219
2048	512	256	1607	449	224
2303	512	256	1807	458	228
2559	512	256	2014	468	231
2815	512	256	2224	477	235
3071	512	256	2426	485	239
3327	512	256	2623	494	242
3583	512	256	2819	503	246
3839	512	256	3020	513	248
4095	512	256	3215	521	253
0	768	256	139	580	211
256	768	256	312	589	215
512	768	256	498	599	218
768	768	256	681	608	224
1024	768	256	868	617	227
1280	768	256	1065	625	231
1536	768	256	1267	634	235
1792	768	256	1468	644	237
2048	768	256	1665	653	241
2303	768	256	1867	662	244
2559	768	256	2075	671	250
2815	768	256	2285	680	254
3071	768	256	2484	690	257
3327	768	256	2680	699	261
3583	768	256	2878	709	264
3839	768	256	3077	718	267
4095	768	256	3271	728	272
0	1024	256	184	790	231
256	1024	256	366	799	235
512	1024	256	551	809	239
768	1024	256	734	818	243
1024	1024	256	922	828	246
1280	1024	256	1123	838	250
1536	1024	256	1325	847	252
1792	1024	256	1526	856	256
2048	1024	256	1723	867	260
2303	1024	256	1927	876	263
2559	1024	256	2137	885	267
2815	1024	256	2343	894	270
3071	1024	256	2543	903	274
3327	1024	256	2738	914	280
3583	1024	256	2937	924	282
3839	1024	256	3135	934	286
4095	1024	256	3328	944	290
0	1280	256	233	1012	249
256	1280	256	420	1022	254
512	1280	256	604	1033	258
768	1280	256	790	1043	261
1024	1280	256	981	1053	265
1280	1280	256	1183	1064	268
1536	1280	256	1385	1074	271
1792	1280	256	1584	1084	275
2048	1280	256	1784	1095	278
2303	1280	256	1988	1105	282
2559	1280	256	2199	1116	285
2815	1280	256	2403	1126	289
3071	1280	256	2601	1136	293
3327	1280	256	2797	1146	296
3583	1280	256	2997	1157	300
3839	1280	256	3193	1167	303
4095	1280	256	3387	1177	307
0	1536	256	287	1244	269
256	1536	256	474	1254	273
512	1536	256	658	1266	276
768	1536	256	845	1276	280
1024	1536	256	1040	1286	284
1280	1536	256	1243	1296	287
1536	1536	256	1445	1307	290
1792	1536	256	1642	1317	293
2048	1536	256	1844	1327	297
2303	1536	256	2051	1337	301
2559	1536	256	2261	1347	304
2815	1536	256	2462	1358	308
3071	1536	256	2659	1368	311
3327	1536	256	2857	1378	315
3583	1536	256	3056	1388	318
3839	1536	256	3250	1398	322
